id_etudiant,matricule,nom,prenom,sexe,date_naissance,telephone,email,adresse,ville,region,pays,date_creation
9d664eeb-7e35-49f0-9962-9e41270c88e2,ETU01000,Vidal,Henriette,Masculin,1999-06-28,769758579,christine99@example.org,"rue Rey
19807 Allain",Tivaouane,Thiès,Sénégal,2026-07-30 16:40:38.438482
efd79f3c-f1c9-4e41-ac78-1a286ab0d1b3,ETU01001,Da Costa,Élise,M,2006-09-17,+221770573434,rodrigueznicolas@example.com,"49, rue Zacharie Bertin
05987 Voisin",Podor,Saint-Louis,Sénégal,2026-07-30 16:40:38.438894
7900f778-7d3b-42b9-a031-1ab44bada90d,ETU1000,Léger,Simone,Masculin,2006-01-15,788833541,fguyot@example.org,"36, avenue de Gaillard
07574 MarchalVille",Kayar,Thiès,Sénégal,2026-07-30 16:40:38.439192
bd7ad0db-f249-4441-af6a-5302d2293063,ETU01003,Delattre,Aimé,Masculin,1995-09-22,+221776295437,flanglois@example.org,"852, boulevard Mace
92265 Collet-la-Forêt",Birkelane,kaffrine,Sénégal,2026-07-30 16:40:38.439448
f79c1c19-6d96-4679-9c6e-11a8ba3ad0c7,ETU01004,Chevallier,Marie,Homme,2008-03-06,,zmasson@example.net,"84, avenue Éléonore Pasquier
25810 Saint LorraineBourg",Foundiougne,Fatick,Sénégal,2026-07-30 16:40:38.439721
bd8a5894-221f-4232-ab56-708bbe8ea7b0,ETU01005,Boucher,Robert,1,1999-06-08,,dianejoly@example.org,"77, avenue Franck Ollivier
43234 Masson",Touba,Diourbel,Sénégal,2026-07-30 16:40:38.439958
56976062-f7af-49bf-bfe4-aa7531258dac,ETU01006,Evrard,Julie,1,2002-09-18,777765044,draynaud@example.net,"rue Godard
84325 Marie-sur-Diaz",Vélingara,Kolda,Sénégal,2026-07-30 16:40:38.440173
09e5ac48-2a33-4d77-8dc8-820c494e9b96,ETU01007,Paris,Marine,Homme,2005-04-03,787273535,qhamon@example.net,"boulevard de Texier
73379 Raynaud",Goudomp,Sédhiou,Sénégal,2026-07-30 16:40:38.440373
0e960c0e-74c7-49e8-8002-6707fc4e013d,ETU01008,Vaillant,Philippe,1,2003-10-05,+221775282830,zperon@example.net,"34, rue de Lemaire
88194 Marie",Diamniadio,Dakar,Sénégal,2026-07-30 16:40:38.440618
2708e7cd-830a-4adf-8e7d-076084488f3e,ETU01009,Coulon,Louis,Homme,2006-08-23,,frederiquevidal@example.com,"67, avenue Luc Pons
88452 Riouboeuf",Podor,Saint-Louis,Sénégal,2026-07-30 16:40:38.440855
92739c0e-bd15-4404-adb1-3adfc2980a4d,ETU01010,Chartier,Emmanuelle,Homme,1996-09-24,707381727,gilbertblanc@example.net,"95, rue Evrard
83911 Briand-sur-Fouquet",Mbour,Thiès,Sénégal,2026-07-30 16:40:38.441091
ee084d28-d2d2-4a34-8ea8-0a021b4f1f1d,ETU01011,Fabre,Zoé,F,2008-05-19,+221773710784,vsimon@example.org,"77, avenue de Guyon
78584 MoulinBourg",Mbacké,Diourbel,Sénégal,2026-07-30 16:40:38.441327
a7a5d2e2-8a28-432a-a0d9-a4fc11e63619,ETU1000,François,Aurore,1,1995-08-27,700973819,ymartin@example.com,"42, rue de Maurice
60774 Reynaud",Salémata,Kédougou,Sénégal,2026-07-30 16:40:38.441596
1a431cfb-8ae8-491c-b3cc-aa00a49f4664,ETU01013,Klein,Gabrielle,Femme,2027-07-30,+221771664373,gabrielle59@example.org,"71, avenue Maggie Blanc
72897 Guibert",Oussouye,Ziguinchor,Sénégal,2026-07-30 16:40:38.441811
265c98f2-6a8a-4667-9406-62a55c271116,ETU1000,Potier,Michelle,0,2005-06-14,705130843,christellegiraud@example.net,"91, rue Raymond
73504 Navarro",Tivaouane,Thiès,Sénégal,2026-07-30 16:40:38.442049
0b503bf2-2dba-4f0e-950b-ce7e72974db4,ETU01015,Robert,Hugues,Masculin,2001-05-17,+221789470628,bessonrene@example.net,"rue de Goncalves
79600 Normand-les-Bains",Meckhe,Thiès,Sénégal,2026-07-30 16:40:38.442287
93841ab2-0dd8-406a-b7ae-33ef0fd3c945,ETU01016,Ramos,Arthur,F,2008-06-05,704207156,william50@example.org,"26, chemin de Pruvost
86376 Leleu",Nioro du Rip,Kaolack,Sénégal,2026-07-30 16:40:38.442529
ecff29b0-3992-4638-9e13-d071f5396060,ETU01017,Roy,Alice,,2000-01-22,00221775433762,hugues78@example.com,"1, rue Besson
17502 Dupuy",Pikine,Dakar,Sénégal,2026-07-30 16:40:38.442750
1b730d48-8e77-425a-8010-83b22da271df,ETU01018,Baron,Nicolas,Homme,1996-07-20,+221789122630,michelle44@example.net,"36, rue Thomas Moreno
44123 Saint Camille-la-Forêt",Bignona,Ziguinchor,Sénégal,2026-07-30 16:40:38.442991
3883d821-0115-44a2-96a4-37a2eab98608,ETU01019,François,Luce,Homme,1998-08-07,701625533,vmoulin@example.net,"43, avenue Dumas
94438 Normand-sur-Bertrand",Salémata,Kédougou,Sénégal,2026-07-30 16:40:38.443755
50ecfe01-62f6-489a-80bd-311228155fe1,ETU01020,Lévy,Joséphine,0,2003-09-26,,fernandezzacharie@example.org,"2, rue Maggie Diaz
80921 Renaud",Mbacké,Diourbel,Sénégal,2026-07-30 16:40:38.444221
8f3f1464-9bfd-4831-9e9b-028f64fcb8d7,ETU01021,Giraud,David,0,2003-08-22,+221770888508,penelopedumont@example.net,"37, rue Maillot
57373 Payet-sur-Barthelemy",Sédhiou,Kolda,Sénégal,2026-07-30 16:40:38.444659
43dbab32-48c8-4462-a32e-a8d3ba83dfed,ETU01022,Samson,Margaud,,1998-06-25,770481071,noeloceane@example.org,"43, rue Raymond Marques
10212 Thibaultdan",Nioro du Rip,Kaolack,Sénégal,2026-07-30 16:40:38.445127
66f4a540-f22a-4dd6-a409-f147e25b9735,ETU01023,Renaud,Adèle,0,2027-07-30,,adrienne65@example.com,"31, avenue Denise Julien
12717 Fleury-sur-Besson",Thiès,Thiès,Sénégal,2026-07-30 16:40:38.445450
18d42115-9968-4e17-af4d-6a3162e50ed8,ETU01024,Fouquet,Philippe,Femme,2027-07-30,+221770950930,jean43@example.com,"boulevard Odette Sanchez
95396 Roche",Gossas,Fatick,Sénégal,2026-07-30 16:40:38.445765
ceaaf5f8-c991-41ab-8416-3bd986d2ab03,ETU01025,Fouquet,Éric,Homme,2006-12-30,+221770794414,maryse64@example.com,"boulevard Boulanger
56405 Monnier-sur-Robert",Nioro du Rip,Kaolack,Sénégal,2026-07-30 16:40:38.446058
3287f896-5000-40f2-9d43-94ea1f7a11ba,ETU1000,Benoit,Richard,Femme,2027-07-30,,da-costarichard@example.net,"93, rue Hoarau
62712 RodriguezVille",Kébémer,Louga,Sénégal,2026-07-30 16:40:38.446256
814b0cdb-1c56-4f9f-bf43-f140f72c5dc0,ETU01027,Chartier,Théophile,Homme,2001-07-28,,dominique65@example.org,"838, rue de Masse
95135 Saint Timothée",Guinguinéo,Kaolack,Sénégal,2026-07-30 16:40:38.446476
20eaf639-19d9-4067-884e-0a531c1d2076,ETU01028,Dos Santos,William,,2005-11-18,+221777400803,garniertimothee@example.org,"2, rue de Bonnin
40722 Dijoux",Gossas,Fatick,Sénégal,2026-07-30 16:40:38.446721
82d4cecf-c50f-461c-aa5c-05c256d47bf9,ETU01029,Launay,Thomas,0,2027-07-30,778413718,annemartineau@example.com,"581, boulevard Stéphane Sanchez
05688 Pineau",Foundiougne,Fatick,Sénégal,2026-07-30 16:40:38.446933
4fc323a5-eced-449f-a9ef-ea05f6d23a03,ETU01030,Renard,Cécile,Homme,2005-08-30,,ines84@example.com,"95, chemin Gautier
09950 Bousquet",Mbacké,Diourbel,Sénégal,2026-07-30 16:40:38.447144
57fb439f-6ff5-483a-abd9-fcc4ab84aec4,ETU01031,Garnier,Renée,F,1997-12-31,772595694,sabine48@example.net,"63, rue Auguste Texier
61215 Chevalier",Dagana,Saint-Louis,Sénégal,2026-07-30 16:40:38.447455
